24,57,125,417,363,609,220
44,57,437,631,665,633,356
1,4,3,48,185,247,1
24,48,254,414,460,256,91
8,12,17,275,181,103,1
35,57,209,353,369,47,1
17,18,235,551,583,641,326
1,57,256,12,245,21,1
24,57,423,583,655,425,255
9,9,141,197,203,89,1
48,57,448,591,660,669,340
1,57,4,20,53,494,155
34,57,308,522,618,624,173
46,57,415,580,596,488,214
1,57,3,155,80,38,30
40,57,365,567,556,356,1
36,57,403,574,540,399,151
1,1,3,79,202,644,216
9,9,157,300,251,298,1
1,1,3,77,134,579,25
36,57,431,570,631,520,223
1,57,3,88,6,177,1
10,13,110,276,276,70,1
1,1,3,91,95,304,1
1,1,5,113,103,385,28
1,57,3,98,52,248,1
1,57,3,78,346,597,200
1,57,3,129,349,265,1
44,57,425,487,581,388,20
1,57,4,108,44,378,24
1,1,3,39,121,65,1
32,57,210,365,429,369,1
1,57,333,443,552,590,236
11,19,325,510,514,477,203
1,57,3,98,52,249,1
19,57,232,248,247,307,1
32,57,320,511,440,32,1
1,1,2,131,147,128,1
46,57,415,580,596,488,214
8,16,8,288,226,111,1
1,1,3,137,129,452,90
11,34,100,344,321,63,1
20,38,285,399,487,50,55
13,57,301,640,656,668,345
41,57,379,600,642,456,319
1,57,5,224,162,661,167
1,57,3,253,201,275,55
1,1,4,30,123,453,11
1,1,4,17,68,674,308
32,57,183,357,449,615,80
1,1,2,16,2,54,1
1,1,3,101,43,284,33
1,1,3,149,168,99,1
19,57,150,599,437,592,238
11,18,55,239,200,486,1
1,1,3,90,81,29,1
1,1,3,160,7,334,1
16,10,170,577,528,636,330
36,57,268,436,305,166,1
32,57,320,511,441,32,1
24,57,197,375,300,175,55
1,1,3,14,32,365,1
1,1,3,60,159,69,1
11,18,132,238,217,240,1
19,57,123,449,409,267,177
1,1,3,46,153,131,1
1,57,3,15,21,498,1
1,57,3,346,13,104,1
24,35,139,351,375,179,1
24,48,255,358,424,74,1
38,57,299,442,481,595,259
11,18,101,293,231,180,1
37,57,329,581,520,300,290
41,57,300,374,456,8,1
1,1,2,10,17,145,1
48,57,452,584,672,561,325
13,57,171,499,522,639,243
21,30,119,361,354,82,1
1,57,5,237,117,123,1
10,13,34,236,304,79,1
19,57,162,297,215,75,1
24,48,174,392,372,173,1
45,57,356,559,523,578,55
13,57,74,185,406,512,222
10,13,73,198,238,100,1
24,57,238,318,365,18,1
1,1,3,226,70,407,114
8,6,19,229,264,9,1
9,9,133,250,310,94,1
1,1,3,126,48,263,1
1,57,2,241,5,362,55
1,57,3,251,1,33,1
19,57,219,475,576,621,306
36,57,373,660,673,419,332
1,57,3,204,173,586,35
1,7,160,22,106,106,1
19,57,163,257,432,583,150
13,57,99,330,308,122,1
1,57,3,45,12,277,1
30,57,296,497,492,181,55
10,13,60,227,343,194,1
1,57,3,170,20,313,55
24,57,409,530,670,601,289
36,57,337,558,568,336,237
10,13,107,235,268,373,1
1,57,3,78,346,598,199
1,1,3,171,148,116,1
1,1,3,87,37,423,50
1,57,3,212,295,234,1
28,52,338,540,545,405,97
24,57,56,360,338,340,120
1,1,2,32,116,591,229
20,32,236,384,482,659,116
7,57,67,408,505,603,328
35,57,322,561,551,438,175
34,57,375,507,469,241,186
1,57,31,322,76,30,1
14,42,376,490,587,628,288
1,57,3,258,138,331,55
1,1,3,156,107,306,1
24,57,412,594,571,223,168
25,57,313,420,240,214,1
48,57,395,573,423,224,164
10,57,142,406,462,431,165
30,57,417,576,644,647,327
41,57,405,549,507,480,55
11,18,57,216,274,220,1
24,57,278,422,282,367,1
32,57,319,562,633,160,254
10,57,266,411,430,42,1
1,1,3,7,89,314,163
32,57,231,429,433,5,1
10,57,156,222,412,458,146
19,49,220,564,477,540,55
48,57,429,552,609,530,180
1,14,3,182,235,316,1
11,34,35,315,232,360,1
36,57,194,260,645,650,303
30,57,311,625,634,490,283
1,57,343,336,544,599,66
41,57,407,637,671,663,322
24,57,245,287,370,489,231
21,57,186,489,504,380,174
32,57,374,628,548,491,269
1,57,2,282,118,619,136
1,1,4,89,127,213,52
1,1,3,9,64,474,126
1,1,4,68,54,2,1
8,36,175,256,353,333,5
10,57,193,279,448,468,10
1,1,2,122,154,408,1
19,57,295,532,547,554,210
9,9,47,193,222,152,1
17,41,138,396,332,51,1
43,57,420,541,624,606,195
24,57,218,386,466,613,144
1,1,3,147,57,97,36
1,1,3,180,150,386,76
1,1,2,102,88,10,1
48,57,461,612,653,626,354
19,57,404,486,382,594,316
13,14,161,505,387,171,1
1,1,3,140,169,228,1
7,57,117,363,457,616,271
1,1,3,28,83,289,1
36,57,312,595,641,622,343
11,18,149,200,219,354,1
24,57,353,569,585,589,249
