87,82,558,624,529,147,544
104,82,466,502,615,511,543
95,82,637,670,703,677,657
45,82,246,595,669,451,655
49,66,128,137,137,81,104
39,49,321,127,206,531,415
45,62,357,424,547,600,405
1,82,100,7,61,7,1
104,82,592,618,674,585,595
40,82,254,541,520,518,566
1,1,2,3,37,622,21
44,82,408,579,407,502,388
63,82,307,297,436,586,523
91,82,539,525,582,483,586
32,82,73,212,232,34,276
40,82,271,109,121,254,3
47,82,276,514,442,353,504
87,82,578,540,602,226,382
42,82,141,313,320,239,214
39,82,368,375,337,644,454
73,82,463,600,534,59,375
1,82,2,24,5,84,1
66,82,270,315,551,537,556
70,82,320,196,318,527,465
44,82,344,619,287,311,306
104,82,648,696,630,631,293
1,1,2,22,38,410,62
1,82,2,34,28,354,28
1,82,2,39,20,64,32
44,82,240,112,74,574,204
97,82,415,604,624,478,619
1,1,2,4,27,243,1
82,82,604,680,603,393,559
63,82,421,542,468,427,288
73,82,487,456,316,563,173
63,82,413,290,139,3,72
1,82,2,52,26,150,11
46,67,290,550,464,401,530
91,82,454,561,434,157,118
73,82,301,180,396,278,308
22,82,9,71,84,626,93
63,82,187,326,272,464,379
73,82,483,522,424,524,363
40,82,145,177,387,510,390
32,82,84,158,168,350,135
1,82,2,57,35,678,255
32,82,225,174,276,500,112
56,82,253,171,313,222,190
104,82,638,568,579,656,325
22,82,258,433,433,615,315
14,82,113,133,104,1,15
62,82,401,288,233,21,96
51,82,212,281,358,195,222
104,82,633,614,629,367,625
58,82,382,608,567,611,500
48,82,313,478,357,523,493
1,1,2,38,6,257,1
8,2,37,98,102,324,278
44,59,176,275,265,215,209
1,82,2,52,26,151,11
73,82,467,405,488,277,203
1,82,148,49,129,368,49
40,82,233,393,331,186,384
54,82,216,291,267,361,144
91,82,476,322,384,120,152
79,82,406,538,535,646,658
15,82,95,206,94,284,194
1,82,2,78,8,47,1
66,82,265,284,354,480,479
71,82,393,470,482,435,528
91,82,583,622,651,320,630
51,82,267,342,415,333,526
21,23,81,289,324,203,386
55,82,221,90,413,587,326
1,28,46,12,51,6,5
10,82,28,69,88,179,1
83,82,445,578,563,673,642
27,19,158,436,457,618,577
104,82,531,606,601,652,299
34,45,131,233,322,485,533
22,82,142,546,375,18,289
48,82,47,175,125,89,132
44,82,402,532,474,616,185
104,82,569,481,568,476,59
43,82,280,361,346,172,373
48,82,251,506,426,68,198
39,82,209,373,305,71,249
51,82,429,509,553,76,531
30,70,115,126,165,60,84
40,82,278,564,245,433,291
73,82,316,351,281,193,181
1,82,2,59,2,24,1
22,82,13,76,187,490,211
104,82,474,369,552,156,332
104,82,606,639,686,592,440
1,28,46,12,51,6,5
73,82,453,282,221,602,376
51,82,247,558,459,667,622
32,82,36,81,188,399,137
62,82,309,479,391,662,456
90,82,380,447,556,462,538
1,82,2,43,9,171,70
104,82,582,295,510,196,481
96,82,458,580,502,463,488
16,27,88,213,92,224,94
22,82,127,374,205,404,41
39,35,215,220,143,45,130
14,11,7,160,58,213,6
1,82,2,53,40,103,35
46,82,287,292,382,623,411
104,82,610,613,628,309,427
51,82,428,476,497,310,333
47,82,384,468,485,546,497
93,82,518,694,574,73,610
8,4,20,91,89,117,101
96,82,535,646,449,331,239
1,1,2,33,7,16,1
104,82,430,300,621,484,215
1,82,2,61,15,450,17
48,82,385,332,304,461,371
32,82,263,248,217,315,34
91,82,416,557,427,606,416
104,82,602,588,678,336,128
51,82,339,569,386,389,297
14,11,346,224,345,366,346
63,82,424,221,223,95,86
39,82,147,278,385,498,489
1,82,164,88,156,161,74
63,82,411,621,537,340,545
1,28,157,67,247,125,108
7,5,98,157,96,534,195
64,82,334,345,416,253,480
104,82,538,631,473,347,206
22,51,33,95,77,211,126
104,82,595,592,684,438,640
14,82,70,496,310,613,361
39,82,262,472,348,341,483
104,82,498,596,503,407,558
93,82,571,663,661,153,502
82,82,506,642,526,544,514
95,82,570,678,580,530,527
104,82,523,515,575,443,477
1,3,2,27,123,504,230
95,82,477,320,470,437,591
104,82,577,495,539,420,505
91,82,485,672,655,655,634
62,82,186,366,311,174,267
35,61,264,517,448,145,490
1,8,14,5,62,49,25
51,82,459,597,639,668,611
1,1,1,31,46,377,1
87,82,435,234,306,115,218
51,82,294,391,445,426,425
27,82,119,280,190,77,349
104,82,378,396,437,109,149
82,82,506,642,526,544,514
104,82,499,467,405,499,343
22,82,97,120,242,238,69
32,82,183,511,484,304,471
73,82,417,353,273,237,229
104,82,634,599,641,432,312
33,82,151,235,148,287,183
9,7,22,216,170,559,395
87,82,508,668,571,170,629
1,82,62,16,98,31,1
104,82,575,457,515,256,428
39,82,121,241,216,221,162
67,82,472,413,334,99,279
100,82,414,210,378,255,305
7,11,50,65,122,595,115
51,82,568,676,689,683,636
1,82,2,63,4,166,1
1,1,2,41,13,274,35
63,82,374,183,152,296,593
46,82,130,179,191,173,122
102,82,590,547,611,202,572
94,82,587,684,690,692,605
51,82,259,254,409,475,467
44,53,204,247,406,566,270
27,42,74,163,246,454,360
104,82,591,681,696,638,582
38,82,227,368,288,403,421
1,1,3,28,10,411,106
51,82,57,64,114,181,345
51,82,440,202,343,205,139
11,28,150,277,149,338,269
20,13,132,146,278,409,212
31,42,335,268,398,185,261
87,82,530,645,566,654,442
2,9,10,130,91,493,193
41,47,172,225,330,121,272
104,82,552,633,360,335,274
14,82,238,162,300,168,176
42,41,169,378,218,436,499
27,82,211,296,420,334,320
96,82,519,669,570,374,495
32,34,156,237,163,23,125
47,82,397,302,369,434,387
1,82,2,53,39,103,35
1,1,3,37,53,248,1
22,26,222,276,181,244,458
42,82,305,530,491,575,612
10,14,99,304,175,38,192
61,76,386,287,248,5,48
104,82,607,423,558,405,418
94,82,603,562,652,549,290
1,13,31,51,174,496,422
104,82,516,312,286,603,119
45,82,354,444,489,292,581
29,82,106,294,257,214,365
22,20,143,367,377,503,534
44,82,330,519,308,267,191
5,25,72,72,97,134,20
1,1,2,47,43,207,158
104,82,563,637,697,177,604
10,82,137,271,126,88,377
94,82,497,518,620,415,414
104,82,641,651,613,346,646
62,82,324,333,234,326,161
1,82,217,96,86,313,38
104,82,627,677,617,679,626
20,42,181,462,362,362,424
22,82,242,459,296,482,295
15,11,219,105,166,569,19
7,11,35,77,54,63,52
72,82,341,449,544,685,661
33,82,170,259,302,660,354
104,82,541,632,338,402,170
43,82,109,286,240,542,507
1,1,2,22,34,400,163
84,82,524,394,569,533,537
87,82,540,664,517,521,431
104,82,398,285,353,428,401
1,1,2,23,29,50,1
104,82,534,438,443,681,563
25,42,224,305,147,209,310
1,82,2,44,19,155,16
36,60,149,446,421,645,587
10,82,40,82,76,312,234
91,82,550,688,654,671,627
104,82,585,200,481,637,515
1,28,152,50,72,80,31
1,26,82,35,80,98,54
1,1,2,4,27,243,1
10,38,41,168,269,319,200
10,82,107,73,78,132,30
4,3,85,182,193,146,205
51,82,166,149,164,529,145
82,82,536,379,528,345,165
104,82,620,585,589,577,570
82,82,553,587,523,392,603
7,5,112,94,65,29,82
79,82,427,582,480,670,532
98,82,600,524,618,322,459
14,20,78,152,75,26,1
63,82,507,483,402,625,444
22,82,123,197,220,329,439
88,81,444,494,572,519,613
1,82,2,53,39,103,35
1,82,3,48,23,17,1
97,82,503,516,366,93,329
104,82,512,554,494,122,1
77,79,443,422,423,42,100
53,82,303,420,501,505,540
66,82,441,491,507,545,620
39,82,117,249,339,557,381
23,82,197,354,195,88,366
104,82,649,555,573,448,385
33,82,269,419,297,141,282
46,72,283,309,332,526,406
52,82,274,349,519,325,651
104,82,616,492,681,285,635
1,82,2,58,11,86,1
64,82,272,187,151,138,146
22,82,5,79,59,116,142
7,5,174,143,70,178,40
51,82,57,64,114,181,345
22,82,302,293,162,92,86
96,82,588,693,659,696,637
94,82,431,407,509,327,114
